Ano;temp_diff;nome_estacao;lat;lng
2019;-0.6425200000000011;A511;-19.57388888;-42.62249999
2020;-0.37599999999999767;A511;-19.57388888;-42.62249999
2021;-0.6104500000000002;A511;-19.57388888;-42.62249999
2022;-1.7230199999999982;A511;-19.57388888;-42.62249999
2023;1.3494700000000002;A511;-19.57388888;-42.62249999
2019;-0.4309200000000004;A513;-20.55666666;-43.75611111
2020;-0.31306999999999974;A513;-20.55666666;-43.75611111
2021;0.19421000000000177;A513;-20.55666666;-43.75611111
2022;-2.601230000000001;A513;-20.55666666;-43.75611111
2023;0.08563999999999794;A513;-20.55666666;-43.75611111
2019;-0.9070800000000006;A515;-21.56638888;-45.40416666
2020;-0.8756400000000006;A515;-21.56638888;-45.40416666
2021;0.8938799999999993;A515;-21.56638888;-45.40416666
2022;-1.7927800000000005;A515;-21.56638888;-45.40416666
2023;1.1084099999999992;A515;-21.56638888;-45.40416666
2019;-0.6719599999999986;A516;-20.745237;-46.633916
2020;-1.183399999999999;A516;-20.745237;-46.633916
2021;0.7450399999999995;A516;-20.745237;-46.633916
2022;-1.5816799999999986;A516;-20.745237;-46.633916
2023;0.08176999999999879;A516;-20.745237;-46.633916
2019;-0.4678400000000025;A517;-21.105;-42.37583332
2020;-0.3309500000000014;A517;-21.105;-42.37583332
2021;0.6921299999999988;A517;-21.105;-42.37583332
2022;-1.45026;A517;-21.105;-42.37583332
2023;2.0920799999999993;A517;-21.105;-42.37583332
2019;-0.6124200000000002;A518;-21.769965;-43.364329
2020;-0.7931399999999975;A518;-21.769965;-43.364329
2021;0.88523;A518;-21.769965;-43.364329
2022;-1.7224499999999985;A518;-21.769965;-43.364329
2023;2.059940000000001;A518;-21.769965;-43.364329
2019;-1.85407;A519;-19.53921;-49.518133
2020;-1.3390799999999992;A519;-19.53921;-49.518133
2021;-2.1073299999999975;A519;-19.53921;-49.518133
2022;-0.8770799999999994;A519;-19.53921;-49.518133
2023;0.06943000000000055;A519;-19.53921;-49.518133
2019;-1.06391;A521;-19.88388888;-43.96944443
2020;-0.9459399999999967;A521;-19.88388888;-43.96944443
2021;-0.45859000000000094;A521;-19.88388888;-43.96944443
2022;-1.9590400000000017;A521;-19.88388888;-43.96944443
2023;0.9608200000000018;A521;-19.88388888;-43.96944443
2019;-0.8930100000000003;A524;-20.455;-45.45388888
2020;-1.2895000000000003;A524;-20.455;-45.45388888
2021;0.3206799999999994;A524;-20.455;-45.45388888
2022;-2.0712800000000016;A524;-20.455;-45.45388888
2023;nan;A524;-20.455;-45.45388888
2019;0.20685999999999893;A531;-22.31444444;-45.37305554
2020;-0.5942499999999988;A531;-22.31444444;-45.37305554
2021;0.40338000000000207;A531;-22.31444444;-45.37305554
2022;-1.5143800000000027;A531;-22.31444444;-45.37305554
2023;0.6674999999999969;A531;-22.31444444;-45.37305554
2019;0.2965699999999991;A533;-18.78694444;-42.94305555
2020;-0.7749400000000009;A533;-18.78694444;-42.94305555
2021;-0.44059000000000026;A533;-18.78694444;-42.94305555
2022;-1.4407500000000013;A533;-18.78694444;-42.94305555
2023;1.3678500000000007;A533;-18.78694444;-42.94305555
2019;-0.22743999999999787;A535;-19.88527777;-44.41694443
2020;-0.7659699999999994;A535;-19.88527777;-44.41694443
2021;-0.5339400000000012;A535;-19.88527777;-44.41694443
2022;-1.273489999999999;A535;-19.88527777;-44.41694443
2023;0.19998000000000005;A535;-19.88527777;-44.41694443
2019;0.6267299999999985;A539;-15.08583333;-44.01611111
2020;-2.7359100000000005;A539;-15.08583333;-44.01611111
2021;-3.099890000000002;A539;-15.08583333;-44.01611111
2022;-3.526019999999999;A539;-15.08583333;-44.01611111
2023;-0.6595399999999998;A539;-15.08583333;-44.01611111
2019;0.8558099999999982;A541;-17.70555555;-42.38916666
2020;0.051719999999999544;A541;-17.70555555;-42.38916666
2021;-1.1396699999999989;A541;-17.70555555;-42.38916666
2022;-1.5417200000000015;A541;-17.70555555;-42.38916666
2023;1.3171800000000005;A541;-17.70555555;-42.38916666
2019;-0.03386000000000067;A547;-16.36277777;-45.12388888
2020;-2.1035000000000004;A547;-16.36277777;-45.12388888
2021;-0.782700000000002;A547;-16.36277777;-45.12388888
2022;-2.6666799999999995;A547;-16.36277777;-45.12388888
2023;-0.43843999999999994;A547;-16.36277777;-45.12388888
2019;1.1001499999999993;A550;-16.57555554;-41.48555555
2020;-2.727499999999999;A550;-16.57555554;-41.48555555
2021;-2.365269999999999;A550;-16.57555554;-41.48555555
2022;-2.2101400000000027;A550;-16.57555554;-41.48555555
2023;1.4371399999999994;A550;-16.57555554;-41.48555555
2019;-0.2262299999999975;A554;-19.73583333;-42.13722221
2020;2.149000000000001;A554;-19.73583333;-42.13722221
2021;-0.4843699999999984;A554;-19.73583333;-42.13722221
2022;-1.490759999999998;A554;-19.73583333;-42.13722221
2023;0.5023400000000002;A554;-19.73583333;-42.13722221
2019;-1.0368899999999996;A562;-18.52055554;-46.44055555
2020;-2.009120000000003;A562;-18.52055554;-46.44055555
2021;nan;A562;-18.52055554;-46.44055555
2022;-2.584430000000001;A562;-18.52055554;-46.44055555
2023;0.3630899999999997;A562;-18.52055554;-46.44055555
2019;-1.0288900000000005;A564;-20.17333332;-44.87499999
2020;-0.7566500000000005;A564;-20.17333332;-44.87499999
2021;0.14566999999999908;A564;-20.17333332;-44.87499999
2022;-2.1127900000000004;A564;-20.17333332;-44.87499999
2023;-0.015579999999999927;A564;-20.17333332;-44.87499999
2019;-0.6750500000000024;F501;-19.97999999;-43.95861111
2020;-0.9321400000000004;F501;-19.97999999;-43.95861111
2021;-0.07490000000000308;F501;-19.97999999;-43.95861111
2022;-2.1283899999999996;F501;-19.97999999;-43.95861111
2023;1.1230499999999992;F501;-19.97999999;-43.95861111
